WELL_NAME,REL_NAME,UBHI,STRING_NAME,FIELD,PRODUCTION_DATE,LAYER_NAME,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,CONDENSATE_VOLUME,OIL_MASS,GAS_MASS,WATER_MASS,CONDENSATE_MASS,FLOWING_HOURS
I-23,GT,I-23,Tubing,ARI,30-Sep-24,SDYX-22,0,0,0,0,0,0,0,0,0
I-23,GT,I-23,Single_String,ARI,30-Sep-24,SDYX&21,0,3231385,45.61,0.04,0,3.23,45.61,0.03,720
I-22,GT,I-22,Tubing,ARI,30-Sep-24,SDYX-22,0,0,0,0,0,0,0,0,0
I-16,AP,I-16,Single_String,ARI,30-Sep-24,SDYXPAY,0,2793506,20.25,0.18,0,2.79,20.25,0.14,720
I-15,AN,I-15,Tubing,ARI,30-Sep-24,SDYX-23,0,0,0,0,0,0,0,0,0
I-14,AI,I-14,Single_String,ARI,30-Sep-24,OBYXIII,0,1130725,56.66,12.76,0,1.13,56.66,10.11,720
I-13,AJ,I-13,Single_String,ARI,30-Sep-24,SDYXPAY,0,4600417,39.32,0.02,0,4.6,39.32,0.02,720
I-12,AG,I-12,Single_String,ARI,30-Sep-24,OBYXJ-I,0,0,0,0,0,0,0,0,0
I-10,GT,I-10,Single_String,ARI,30-Sep-24,SDYX-20,0,15787,1.79,0,0,0.01,1.79,0,16
RI-4,AC,RI-4,Single_String,ARI,30-Sep-24,SDYXPAY,0,634378,34.46,0.15,0,0.63,34.46,0.12,720
N-40,AO,N-40,Single_String,GAR,30-Sep-24,MPYX-34,0,0,0,0,0,0,0,0,0
N-35,AL,N-35,Single_String,GAR,30-Sep-24,MPYX-33,0,0,0,0,0,0,0,0,0
N-70,DN,N-70,Single_String,GAR,30-Sep-24,MPYX-50,0,363813,49.87,0.45,0,0.36,49.87,0.35,720
N-54,AX,N-54,Single_String,GAR,30-Sep-24,SPYX-39,0,0,0,0,0,0,0,0,0
N-36,AM,N-36,Single_String,GAR,30-Sep-24,MPYX-21,0,0,0,0,0,0,0,0,0
N-31,DB,N-31,Single_String,GAR,30-Sep-24,MPYX-21,0,0,0,0,0,0,0,0,0
MN-3,RC,MN-3,Single_String,GAR,30-Sep-24,MPYX-21,0,723957,2.69,1.04,0,0.72,2.69,0.83,720
N-29,DA,N-29,Single_String,GAR,30-Sep-24,MPYX-30,0,0,0,0,0,0,0,0,0
N-23,NA,N-23,Single_String,GAR,30-Sep-24,MPYX-30,0,237979,2.75,0,0,0.23,2.75,0,720
MN-2,RB,MN-2,Single_String,GAR,30-Sep-24,MPYX-21,0,0,0,0,0,0,0,0,0
N-19,NB,N-19,Single_String,GAR,30-Sep-24,MPYX-20,0,377581,2.69,1.05,0,0.37,2.69,0.83,720
N-18,DB,N-18,Single_String,GAR,30-Sep-24,MPYX-30,0,78045,1.26,0.78,0,0.07,1.26,0.62,418.66
N-15,RM,N-15,Single_String,GAR,30-Sep-24,MPYX51A,0,0,0,0,0,0,0,0,0
N-10,PL,N-10,Single_String,GAR,30-Sep-24,MPYX-30,0,599116,2.7,1.05,0,0.59,2.7,0.83,720
N-85,DD,N-85,Single_String,GAR,30-Sep-24,MPYX51A,0,0,0,0,0,0,0,0,0
N-81,DK,N-81,Single_String,GAR,30-Sep-24,MPYX-35,0,239225,2.69,1.05,0,0.23,2.69,0.83,720
N-77,DC,N-77,Single_String,GAR,30-Sep-24,MPYX-21,0,978926,3.69,1.05,0,0.97,3.69,0.83,720
-15A,5A,-15A,Single_String,GAR,30-Sep-24,MPYX51A,0,2098216,0,2.69,0,2.09,0,2.13,711
-100,BL,-100,Single_String,GAR,30-Sep-24,MPYX-56,0,156778,0,0,0,0.15,0,0,720
N-9A,B),N-9A,Single_String,BAN,30-Sep-24,KPYX55A,0,1444935,57.1,3.85,0,1.44,57.1,3.12,720
KN-8,RR,KN-8,Single_String,BAN,30-Sep-24,KPYX-59,0,0,0,0,0,0,0,0,0
KN-7,RG,KN-7,Single_String,BAN,30-Sep-24,KPYX-59,0,173027,41.93,2.56,0,0.17,41.93,2.08,720
N-55,DG,N-55,Single_String,BAN,30-Sep-24,KPYX65B,0,272481,35.07,2.14,0,0.27,35.07,1.73,720
N-50,DF,N-50,Single_String,BAN,30-Sep-24,KPYX-65,0,0,0,0,0,0,0,0,0
N-46,DD,N-46,Short_String,BAN,30-Sep-24,KPYX-65,0,6530,0,0,0,0,0,0,720
N-46,DD,N-46,Long_String,BAN,30-Sep-24,KPYX-65,0,0,0,0,0,0,0,0,0
N-45,DE,N-45,Single_String,BAN,30-Sep-24,KPYX-65,0,1222197,36,1.57,0,1.22,36,1.27,720
N-44,AS,N-44,Single_String,BAN,30-Sep-24,KPYXP-7,0,83755,0,0,0,0.08,0,0,224.5
N-43,AR,N-43,Single_String,BAN,30-Sep-24,KPYX-50,0,265264,58.4,2.33,0,0.26,58.4,1.89,720
KN-4,RF,KN-4,Single_String,BAN,30-Sep-24,KPYX-51,0,0,0,0,0,0,0,0,0
-33A,DC,-33A,Single_String,BAN,30-Sep-24,KPYX-65,0,916548,57.39,3.5,0,0.91,57.39,2.83,720
N-30,AB,N-30,Single_String,BAN,30-Sep-24,KPYX-65,0,521782,35.24,1.94,0,0.52,35.24,1.57,720
N-25,AE,N-25,Single_String,BAN,30-Sep-24,KPYX-55,0,0,0,0,0,0,0,0,0
N-24,AA,N-24,Single_String,BAN,30-Sep-24,KPYX-65,0,0,0,0,0,0,0,0,0
N-20,#NAME?,N-20,Single_String,BAN,30-Sep-24,KPYX-55,0,1810149,30.2,1.86,0,1.81,30.2,1.51,684.75
N-14,RS,N-14,Single_String,BAN,30-Sep-24,KPYX-55,0,1607150,30.89,1.9,0,1.6,30.89,1.54,699.75
N-99,EI,N-99,Single_String,BAN,30-Sep-24,KPYX-82,0,1841177,35.12,2.1,0,1.84,35.12,1.7,720
N-97,EA,N-97,Single_String,BAN,30-Sep-24,KPYX-80,0,341319,57.41,2.03,0,0.34,57.41,1.64,720
N-96,EE,N-96,Single_String,BAN,30-Sep-24,KPYX55A,0,397904,98.72,4.01,0,0.39,98.72,3.25,720
